time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-29T20:30:35.102Z,36.8754,-3.4809,10.0,2.8,ml,7.0,158,2.751,0.2,us,us7000l7f4,2024-01-10T06:01:12.040Z,"4 km S of Lanjarón, Spain",earthquake,6.28,2.011,0.181,4,reviewed,us,us
2023-04-04T21:06:08.713Z,35.0303,-3.9547,15.028,4.5,mb,17.0,122,2.258,0.42,us,us6000k3jd,2023-06-13T03:12:59.040Z,"13 km SW of Bni Bouayach, Morocco",earthquake,7.18,2.754,0.242,5,reviewed,us,us
2023-02-24T09:15:04.526Z,36.6094,-8.0546,10.0,3.2,ml,8.0,167,0.81,0.52,us,us6000jr9k,2023-04-29T21:57:33.040Z,"46 km SSW of Faro, Portugal",earthquake,3.86,1.994,0.128,8,reviewed,us,us
2023-02-12T08:36:45.805Z,35.0177,-3.8262,10.0,4.4,mb,30.0,132,2.283,0.38,us,us6000jqbh,2023-04-22T21:33:20.040Z,"9 km S of Bni Bouayach, Morocco",earthquake,5.21,1.797,0.19,11,reviewed,us,us
2023-02-12T06:59:30.586Z,35.0455,-3.8846,10.0,4.1,mb,26.0,114,2.293,0.62,us,us6000jqbf,2023-04-22T21:33:20.040Z,"7 km SSW of Bni Bouayach, Morocco",earthquake,6.98,1.894,0.235,8,reviewed,us,us
2022-12-31T07:05:53.983Z,37.1379,-1.8845,9.693,4.2,mb,20.0,144,0.834,0.47,us,us7000j178,2023-03-07T19:00:01.040Z,"1 km SSE of Turre, Spain",earthquake,6.29,7.5,0.303,3,reviewed,us,us
2022-11-30T11:07:01.690Z,35.5367,-3.4806,10.0,4.4,mb,43.0,89,2.396,0.44,us,us6000j5r8,2023-02-05T23:25:31.040Z,"52 km NE of Al Hoceïma, Morocco",earthquake,5.83,1.883,0.138,19,reviewed,us,us
2022-11-18T23:32:42.138Z,35.4546,-3.6108,10.0,4.3,mb,47.0,115,2.334,0.63,us,us7000iqvl,2023-01-28T19:58:28.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,6.69,1.904,0.116,21,reviewed,us,us
2022-11-04T22:26:50.471Z,35.4758,-3.5546,10.0,4.3,mb,26.0,116,2.786,0.36,us,us7000iml9,2023-01-12T23:11:34.040Z,"42 km NE of Al Hoceïma, Morocco",earthquake,7.13,1.926,0.306,3,reviewed,us,us
2022-10-21T12:45:58.940Z,35.3062,-4.0765,10.0,4.3,mb,55.0,109,2.08,0.53,us,us6000ivhg,2022-12-31T23:03:46.040Z,"13 km NW of Tirhanimîne, Morocco",earthquake,6.47,1.894,0.101,28,reviewed,us,us
2022-10-16T07:32:16.639Z,35.4713,-3.4838,15.504,4.5,mb,25.0,71,2.42,0.39,us,us6000iv98,2022-12-31T23:03:42.040Z,"47 km ENE of Al Hoceïma, Morocco",earthquake,3.69,4.785,0.163,11,reviewed,us,us
2022-10-04T15:39:29.753Z,35.2919,-3.6514,10.0,4.9,mb,70.0,95,2.382,0.71,us,us6000iqqa,2022-12-10T22:53:07.040Z,"24 km NE of Imzouren, Morocco",earthquake,3.75,1.838,0.057,99,reviewed,us,us
2022-10-04T15:37:19.100Z,35.5593,-3.4635,10.0,4.0,mb,18.0,116,2.4,1.02,us,us6000iqq9,2022-12-10T22:53:07.040Z,"54 km NE of Al Hoceïma, Morocco",earthquake,3.3,1.929,0.366,2,reviewed,us,us
2022-09-15T21:05:51.727Z,35.4973,-3.6194,10.0,4.6,mb,28.0,115,2.309,0.36,us,us7000ia5u,2022-11-19T23:03:52.040Z,Strait of Gibraltar,earthquake,6.91,1.926,0.244,5,reviewed,us,us
2022-08-23T17:46:05.496Z,35.4353,-3.4312,14.29,4.3,mb,22.0,139,2.788,0.94,us,us7000i422,2022-11-01T15:14:36.040Z,Strait of Gibraltar,earthquake,7.7,5.415,0.375,3,reviewed,us,us
2022-08-14T20:20:45.889Z,35.9373,-8.5367,38.552,4.1,mb,33.0,99,1.216,0.49,us,us6000iav1,2022-10-28T02:25:58.040Z,"124 km SSE of Sagres, Portugal",earthquake,6.87,9.221,0.106,24,reviewed,us,us
2022-08-10T18:33:15.094Z,35.5502,-3.6409,10.0,4.2,mb,22.0,134,2.271,0.95,us,us6000ic50,2022-10-21T23:20:16.040Z,Strait of Gibraltar,earthquake,6.26,1.944,0.304,3,reviewed,us,us
2022-08-03T21:19:57.003Z,35.4414,-3.6393,10.0,4.0,mb,37.0,77,2.319,0.72,us,us6000i7uy,2022-10-12T14:50:19.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,6.53,1.918,0.134,15,reviewed,us,us
2022-07-20T14:11:42.653Z,35.4923,-3.5369,10.0,4.1,mb,34.0,78,2.372,0.54,us,us7000hs39,2022-09-27T16:57:09.040Z,"45 km NE of Al Hoceïma, Morocco",earthquake,4.99,1.895,0.184,8,reviewed,us,us
2022-07-16T03:55:57.512Z,36.4458,-0.1336,10.0,4.4,mb,29.0,96,1.334,0.59,us,us6000i2yd,2022-09-27T16:56:52.040Z,"60 km NNW of Mostaganem, Algeria",earthquake,8.68,1.886,0.179,11,reviewed,us,us
2022-06-26T19:17:51.060Z,35.913,-0.3922,10.0,4.6,mb,39.0,75,1.74,0.69,us,us7000hkfb,2022-09-03T21:03:41.040Z,"14 km NW of Aïn el Bya, Algeria",earthquake,7.1,1.8,0.093,34,reviewed,us,us
2022-06-06T17:57:47.940Z,35.4506,-3.6166,10.0,4.0,mb,37.0,62,2.331,0.58,us,us7000hggy,2022-08-13T21:51:52.040Z,"36 km NE of Al Hoceïma, Morocco",earthquake,6.5,1.6,0.15,12,reviewed,us,us
2022-06-02T12:55:15.177Z,35.6277,-3.4835,10.0,4.5,mwr,90.0,60,2.359,0.97,us,us7000hec0,2022-08-06T22:13:16.040Z,"58 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.8,0.073,18,reviewed,us,us
2022-05-29T20:15:25.294Z,35.3156,-3.5996,10.0,4.4,mb,35.0,82,3.086,0.67,us,us7000hee2,2022-08-06T22:13:19.040Z,"29 km NE of Imzouren, Morocco",earthquake,8.2,1.9,0.126,18,reviewed,us,us
2022-05-20T20:11:28.010Z,35.4408,-3.5561,10.0,4.1,mb,42.0,74,2.97,1.09,us,us6000hmrr,2022-07-24T02:40:43.040Z,"40 km ENE of Al Hoceïma, Morocco",earthquake,6.9,1.9,0.127,19,reviewed,us,us
2022-05-20T12:35:49.576Z,35.5176,-3.4789,10.0,5.5,mww,166.0,40,2.405,0.47,us,us6000hmld,2022-07-24T02:40:37.040Z,Strait of Gibraltar,earthquake,6.3,1.8,0.039,63,reviewed,us,us
2022-04-16T14:36:07.344Z,35.4589,-3.477,10.0,4.2,mb,,78,2.794,1.12,us,us6000hfbw,2022-06-26T01:18:27.040Z,"47 km ENE of Al Hoceïma, Morocco",earthquake,4.6,2.0,0.167,10,reviewed,us,us
2022-04-09T03:55:10.226Z,35.5087,-3.8224,10.0,4.3,mb,,112,2.155,0.2,us,us7000h1v0,2022-06-20T22:08:04.040Z,"30 km NNE of Al Hoceïma, Morocco",earthquake,3.1,2.0,0.266,6,reviewed,us,us
2022-04-07T07:09:04.463Z,35.5086,-3.6711,11.69,4.3,mb,,151,2.987,0.46,us,us7000h1t0,2022-06-11T20:21:19.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,8.0,6.5,0.168,10,reviewed,us,us
2022-02-11T07:53:16.568Z,36.3658,-8.8696,10.0,4.1,mb,,188,0.766,0.51,us,us7000gldj,2022-04-19T17:40:27.040Z,"71 km S of Sagres, Portugal",earthquake,6.5,2.0,0.214,7,reviewed,us,us
2022-02-08T15:18:00.954Z,35.5318,-3.6604,11.12,4.2,mb,,144,2.264,0.55,us,us7000gk24,2022-04-19T17:40:06.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,7.4,6.5,0.305,3,reviewed,us,us
2022-01-01T21:03:48.199Z,36.3199,-7.6651,6.92,4.3,mb,,127,1.186,0.5,us,us7000g8da,2022-03-12T22:19:00.040Z,"80 km SSE of Olhão, Portugal",earthquake,2.6,4.6,0.08,44,reviewed,us,us
2021-12-30T15:28:19.175Z,35.3652,-3.7794,10.0,4.3,mb,,230,4.196,0.46,us,us7000gax9,2022-03-05T23:11:11.040Z,"19 km NE of Al Hoceïma, Morocco",earthquake,4.5,2.0,0.239,5,reviewed,us,us
2021-12-23T01:54:26.211Z,35.1559,-3.896,10.0,4.8,mb,,29,2.287,0.56,us,us6000geqa,2022-03-01T16:39:37.040Z,"4 km WNW of Imzouren, Morocco",earthquake,6.0,1.8,0.048,133,reviewed,us,us
2021-11-18T01:23:01.611Z,35.4969,-3.6974,10.0,4.0,mb,,81,2.766,0.53,us,us7000fwhe,2022-01-22T20:52:11.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,5.4,1.9,0.182,8,reviewed,us,us
2021-10-23T19:54:01.108Z,35.3958,-3.4733,10.0,4.2,mb,,119,2.737,0.7,us,us7000fpgz,2022-01-08T17:43:31.040Z,"44 km NE of Imzouren, Morocco",earthquake,3.3,1.9,0.152,12,reviewed,us,us
2021-10-19T17:43:31.648Z,37.0419,-5.2649,15.15,4.0,mb,,141,0.949,0.68,us,us6000fvy1,2021-12-25T22:58:49.040Z,"8 km W of Villanueva de San Juan, Spain",earthquake,5.4,2.0,0.211,6,reviewed,us,us
2021-09-18T00:11:18.537Z,35.4828,-3.6101,10.0,4.2,mb,,115,2.779,0.37,us,us7000fdrm,2021-12-03T15:01:53.040Z,"39 km NE of Al Hoceïma, Morocco",earthquake,4.0,2.0,0.305,3,reviewed,us,us
2021-09-01T12:51:59.276Z,35.4448,-3.6889,10.0,4.0,mb,,134,2.281,0.55,us,us7000f9px,2021-11-06T20:28:32.040Z,"31 km NE of Al Hoceïma, Morocco",earthquake,7.3,2.0,0.133,15,reviewed,us,us
2021-08-28T11:20:49.968Z,35.4853,-3.5403,10.0,5.3,mww,,53,2.372,0.45,us,us7000f57a,2025-12-22T22:14:34.261Z,"44 km NE of Al Hoceïma, Morocco",earthquake,6.2,1.8,0.044,50,reviewed,us,us
2021-08-12T21:25:12.041Z,37.189,-3.7468,10.0,4.6,mb,,65,2.1,1.09,us,us6000f4uc,2021-10-23T15:46:34.040Z,"2 km W of Santafé, Spain",earthquake,7.0,1.8,0.076,51,reviewed,us,us
2021-08-10T10:02:06.864Z,35.562,-3.3107,10.0,4.4,mb,,152,2.514,0.54,us,us6000f8dp,2021-10-23T15:46:51.040Z,"45 km NW of Melilla, Spain",earthquake,7.9,2.0,0.536,1,reviewed,us,us
2021-08-07T04:19:15.968Z,35.4578,-3.6295,10.0,4.3,mb,,91,2.319,0.75,us,us6000f337,2021-10-23T15:45:47.040Z,"36 km NE of Al Hoceïma, Morocco",earthquake,6.3,1.9,0.168,11,reviewed,us,us
2021-08-02T14:06:10.084Z,35.4442,-3.6231,10.0,4.4,mb,,116,2.329,0.65,us,us6000f3vc,2021-10-14T01:08:45.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,6.6,1.9,0.149,13,reviewed,us,us
2021-08-02T08:49:30.097Z,35.553,-3.9634,10.0,4.5,mb,,137,2.033,0.39,us,us6000f3vb,2021-10-14T01:08:44.040Z,"33 km N of Al Hoceïma, Morocco",earthquake,5.7,2.0,0.204,7,reviewed,us,us
2021-07-30T09:13:03.844Z,35.4993,-3.6941,10.0,4.3,mb,,63,2.253,0.63,us,us6000f0k4,2021-10-14T01:03:40.040Z,"35 km NE of Al Hoceïma, Morocco",earthquake,7.1,1.9,0.113,22,reviewed,us,us
2021-07-30T08:58:50.303Z,35.2794,-3.6453,10.0,4.6,mb,,61,2.392,0.53,us,us6000f0k0,2021-10-14T01:03:40.040Z,"23 km NE of Imzouren, Morocco",earthquake,4.2,1.9,0.076,52,reviewed,us,us
2021-07-11T11:40:03.607Z,35.4397,-3.6282,10.0,4.4,mb,,61,2.328,0.56,us,us6000eud8,2021-09-17T22:49:37.040Z,"34 km NE of Al Hoceïma, Morocco",earthquake,4.7,1.9,0.091,35,reviewed,us,us
